fast,slow,signal,win,lose,result,winrate
3,19,7,247,151,1191654.39,62.06030150753769
7,19,3,247,151,1191654.39,62.06030150753769
6,24,7,157,96,641920.41,62.055335968379445
7,24,6,157,96,641920.41,62.055335968379445
4,15,9,206,126,970653.8799999997,62.04819277108434
9,15,4,206,126,970653.8799999997,62.04819277108434
4,24,5,237,145,1157631.3899999997,62.04188481675393
5,24,4,237,145,1157631.3899999997,62.04188481675393
2,12,9,286,175,1404254.2500000005,62.039045553145336
2,15,8,286,175,1399829.8000000005,62.039045553145336
8,15,2,286,175,1399829.8000000005,62.039045553145336
9,12,2,286,175,1404254.2500000005,62.039045553145336
4,20,8,201,123,962298.9999999995,62.03703703703704
8,20,4,201,123,962298.9999999995,62.03703703703704
5,24,5,214,131,1021527.3199999997,62.028985507246375
3,21,8,227,139,1119964.0399999996,62.021857923497265
8,21,3,227,139,1119964.0399999996,62.021857923497265
3,19,6,258,158,1237962.4999999995,62.01923076923077
6,19,3,258,158,1237962.4999999995,62.01923076923077
6,17,8,160,98,673267.9400000001,62.01550387596899
8,17,6,160,98,673267.9400000001,62.01550387596899
2,19,5,310,190,1530224.7500000012,62.0
4,24,6,217,133,1047873.8199999995,62.0
5,19,2,310,190,1530224.7500000012,62.0
5,22,5,217,133,1045122.3699999995,62.0
6,19,6,186,114,848922.7299999992,62.0
6,24,4,217,133,1047873.8199999995,62.0
9,19,9,124,76,442759.81000000064,62.0
3,20,8,230,141,1120319.7899999998,61.99460916442049
8,20,3,230,141,1120319.7899999998,61.99460916442049
6,19,7,168,103,717958.4199999999,61.99261992619926
7,19,6,168,103,717958.4199999999,61.99261992619926
3,14,5,282,173,1359493.25,61.97802197802198
5,14,3,282,173,1359493.25,61.97802197802198
4,22,7,207,127,986028.5699999997,61.97604790419162
7,22,4,207,127,986028.5699999997,61.97604790419162
3,11,6,277,170,1331703.6700000002,61.96868008948546
4,14,4,277,170,1338839.37,61.96868008948546
6,11,3,277,170,1331703.6700000002,61.96868008948546
4,16,9,202,124,940970.3999999997,61.96319018404908
9,16,4,202,124,940970.3999999997,61.96319018404908
2,21,9,259,159,1274742.0899999999,61.961722488038276
3,18,6,259,159,1230801.2499999995,61.961722488038276
6,18,3,259,159,1230801.2499999995,61.961722488038276
9,21,2,259,159,1274742.0899999999,61.961722488038276
5,21,9,158,97,645346.09,61.96078431372549
9,21,5,158,97,645346.09,61.96078431372549
3,21,4,285,175,1388915.8500000003,61.95652173913044
4,21,3,285,175,1388915.8500000003,61.95652173913044
3,19,9,223,137,1096930.0399999998,61.94444444444444
9,19,3,223,137,1096930.0399999998,61.94444444444444
3,10,8,262,161,1258826.8199999994,61.938534278959814
8,10,3,262,161,1258826.8199999994,61.938534278959814
3,16,7,252,155,1216472.4999999998,61.91646191646192
7,16,3,252,155,1216472.4999999998,61.91646191646192
2,11,9,291,179,1430436.1000000003,61.91489361702128
9,11,2,291,179,1430436.1000000003,61.91489361702128
2,19,9,260,160,1286203.9899999998,61.904761904761905
3,18,8,234,144,1145923.5899999999,61.904761904761905
6,19,9,143,88,519231.1600000001,61.904761904761905
8,18,3,234,144,1145923.5899999999,61.904761904761905
9,19,2,260,160,1286203.9899999998,61.904761904761905
9,19,6,143,88,519231.1600000001,61.904761904761905
3,21,6,255,157,1244919.47,61.89320388349515
6,21,3,255,157,1244919.47,61.89320388349515
2,16,6,302,186,1498050.4000000008,61.885245901639344
6,16,2,302,186,1498050.4000000008,61.885245901639344
5,22,6,198,122,949449.5199999996,61.875
6,22,5,198,122,949449.5199999996,61.875
4,10,5,271,167,1299943.8199999998,61.87214611872146
5,10,4,271,167,1299943.8199999998,61.87214611872146
2,20,6,292,180,1430134.6000000008,61.86440677966102
3,18,4,292,180,1424571.6000000006,61.86440677966102
4,18,3,292,180,1424571.6000000006,61.86440677966102
6,20,2,292,180,1430134.6000000008,61.86440677966102
4,22,5,240,148,1181791.82,61.855670103092784
5,22,4,240,148,1181791.82,61.855670103092784
4,16,4,269,166,1290231.1499999997,61.839080459770116
2,15,6,303,187,1488557.950000001,61.83673469387755
6,15,2,303,187,1488557.950000001,61.83673469387755
3,16,5,277,171,1347667.0499999998,61.830357142857146
5,16,3,277,171,1347667.0499999998,61.830357142857146
2,20,9,259,160,1284213.39,61.81384248210024
9,20,2,259,160,1284213.39,61.81384248210024
4,21,7,212,131,1009933.6699999998,61.80758017492711
5,16,6,212,131,1015241.5099999995,61.80758017492711
6,16,5,212,131,1015241.5099999995,61.80758017492711
7,21,4,212,131,1009933.6699999998,61.80758017492711
3,11,7,267,165,1290729.1199999996,61.80555555555556
4,11,5,267,165,1270279.5699999998,61.80555555555556
5,11,4,267,165,1270279.5699999998,61.80555555555556
7,11,3,267,165,1290729.1199999996,61.80555555555556
3,22,6,254,157,1252424.29,61.80048661800487
6,22,3,254,157,1252424.29,61.80048661800487
3,12,6,275,170,1323354.8699999999,61.79775280898876
6,12,3,275,170,1323354.8699999999,61.79775280898876
3,13,7,262,162,1253648.6699999995,61.79245283018868
7,13,3,262,162,1253648.6699999995,61.79245283018868
5,18,7,194,120,902405.8999999997,61.78343949044586
7,18,5,194,120,902405.8999999997,61.78343949044586
4,13,5,257,159,1238486.3699999994,61.77884615384615
4,14,5,257,159,1235725.6199999994,61.77884615384615
5,13,4,257,159,1238486.3699999994,61.77884615384615
5,14,4,257,159,1235725.6199999994,61.77884615384615
2,12,7,299,185,1474359.6500000006,61.77685950413223
